publication_title,print_identifier,title_url,title_id,publisher_name,parent_publication_title_id
ACM International Conference on Supercomputing 25th Anniversary Volume,978-1-4503-2840-1,https://dl.acm.org/doi/book/10.1145/2591635,10.1145/2591635,Association for Computing Machinery,acmconferences
ACM Journal of Computer Documentation,1527-6805,https://dl.acm.org/loi/jcd,jcd,Association for Computing Machinery,
ACM Journal on Emerging Technologies in Computing Systems,1550-4832,https://dl.acm.org/loi/jetc,jetc,Association for Computing Machinery,
ACM Letters on Programming Languages and Systems,1057-4514,https://dl.acm.org/loi/loplas,loplas,Association for Computing Machinery,
ACM Lisp Bulletin,,https://dl.acm.org/loi/sigplan-lisp,sigplan-lisp,Association for Computing Machinery,
ACM Oral History interviews,978-1-4503-1771-9,https://dl.acm.org/doi/book/10.1145/1141880,10.1145/1141880,Association for Computing Machinery,acmotherconferences
"ACM Recommended Curricula for Computer Science and Information Processing Programs in Colleges and Universities, 1968-1981",978-0-89791-058-3,https://dl.acm.org/doi/book/10.1145/2594496,10.1145/2594496,Association for Computing Machinery,acmotherbooks
ACM SIGACCESS Accessibility and Computing,1558-2337,https://dl.acm.org/loi/sigaccess,sigaccess,Association for Computing Machinery,
ACM SIGACT News,0163-5700,https://dl.acm.org/loi/sigact,sigact,Association for Computing Machinery,
ACM SIGAPL APL Quote Quad,0163-6006,https://dl.acm.org/loi/sigapl,sigapl,Association for Computing Machinery,
ACM SIGAPP Applied Computing Review,1559-6915,https://dl.acm.org/loi/sigapp,sigapp,Association for Computing Machinery,
ACM SIGARCH Computer Architecture News,0163-5964,https://dl.acm.org/loi/sigarch,sigarch,Association for Computing Machinery,
ACM SIGART Bulletin,0163-5719,https://dl.acm.org/loi/sigai,sigai,Association for Computing Machinery,
ACM SIGAda Ada Letters,1094-3641,https://dl.acm.org/loi/sigada,sigada,Association for Computing Machinery,
ACM SIGBED Review,,https://dl.acm.org/loi/sigbed,sigbed,Association for Computing Machinery,
ACM SIGBIO Newsletter,0163-5697,https://dl.acm.org/loi/sigbio-news,sigbio-news,Association for Computing Machinery,
ACM SIGBioinformatics Record,2331-9291,https://dl.acm.org/loi/sigbio,sigbio,Association for Computing Machinery,
ACM SIGCAPH Computers and the Physically Handicapped,0163-5727,https://dl.acm.org/loi/sigaccess-sigcaph,sigaccess-sigcaph,Association for Computing Machinery,
ACM SIGCAS Computers and Society,0095-2737,https://dl.acm.org/loi/sigcas,sigcas,Association for Computing Machinery,
ACM SIGCHI Bulletin,0736-6906,https://dl.acm.org/loi/sigchi,sigchi,Association for Computing Machinery,
ACM SIGCHI Bulletin - a supplement to interactions,,https://dl.acm.org/loi/sigchi-suppl,sigchi-suppl,Association for Computing Machinery,
ACM SIGCHI Curricula for Human-Computer Interaction,978-0-89791-474-1,https://dl.acm.org/doi/book/10.1145/2594128,10.1145/2594128,Association for Computing Machinery,acmotherbooks
ACM SIGCHI curricula for human-computer interaction,978-0-89791-474-1,https://dl.acm.org/doi/book/10.1145/133967,10.1145/133967,Association for Computing Machinery,acmotherbooks
ACM SIGCOMM Computer Communication Review,0146-4833,https://dl.acm.org/loi/sigcomm-ccr,sigcomm-ccr,Association for Computing Machinery,
ACM SIGCPR Computer Personnel,0160-2497,https://dl.acm.org/loi/sigcpr,sigcpr,Association for Computing Machinery,
ACM SIGCSE Bulletin,0097-8418,https://dl.acm.org/loi/sigcse,sigcse,Association for Computing Machinery,
ACM SIGCSIM Installation Management Review,0163-5972,https://dl.acm.org/loi/sigcsim,sigcsim,Association for Computing Machinery,
ACM SIGCUE Outlook,0163-5735,https://dl.acm.org/loi/sigcue,sigcue,Association for Computing Machinery,
ACM SIGDA Newsletter,0163-5743,https://dl.acm.org/loi/sigda,sigda,Association for Computing Machinery,
ACM SIGDOC Asterisk Journal of Computer Documentation,0731-1001,https://dl.acm.org/loi/sigdoc,sigdoc,Association for Computing Machinery,
ACM SIGEVOlution,,https://dl.acm.org/loi/sigevo,sigevo,Association for Computing Machinery,
ACM SIGFORTH Newsletter,1047-4544,https://dl.acm.org/loi/sigforth,sigforth,Association for Computing Machinery,
ACM SIGGRAPH 2000 Video Review on Computer Animation Festival Selections I: Volume 172,978-1-4503-6499-7,https://dl.acm.org/doi/book/10.1145/3196251,10.1145/3196251,Association for Computing Machinery,acmotherconferences
ACM SIGGRAPH 2000 Video Review on Computer Animation Festival Selections II: Volume 173,978-1-4503-6497-3,https://dl.acm.org/doi/book/10.1145/3196279,10.1145/3196279,Association for Computing Machinery,acmotherconferences
ACM SIGGRAPH 2000 Video Review on The History of Computer Graphics,978-1-4503-6498-0,https://dl.acm.org/doi/book/10.1145/3196249,10.1145/3196249,Association for Computing Machinery,acmotherconferences
ACM SIGGRAPH 2001 video review on Animation theater program,978-1-4503-7429-3,https://dl.acm.org/doi/book/10.1145/945191,10.1145/945191,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2001 video review on Electronic theater program,978-1-4503-7432-3,https://dl.acm.org/doi/book/10.1145/945314,10.1145/945314,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2002 conference abstracts and applications,978-1-58113-525-1,https://dl.acm.org/doi/book/10.1145/1242073,10.1145/1242073,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2003 Educators Program,978-1-4503-7459-0,https://dl.acm.org/doi/book/10.1145/965106,10.1145/965106,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2003 Papers,978-1-58113-709-5,https://dl.acm.org/doi/book/10.1145/1201775,10.1145/1201775,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2003 Sketches & Applications,978-1-4503-7466-8,https://dl.acm.org/doi/book/10.1145/965400,10.1145/965400,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2003 Web Graphics,978-1-4503-7463-7,https://dl.acm.org/doi/book/10.1145/965333,10.1145/965333,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2003 video review on Animation theater program: part 1 - Volume 145,978-1-4503-7784-3,https://dl.acm.org/doi/book/10.1145/1006091,10.1145/1006091,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2003 video review on Animation theater program: part 2 - Volume 146,978-1-4503-7785-0,https://dl.acm.org/doi/book/10.1145/1006114,10.1145/1006114,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2003 video review on Electronic theater program on Electronic theater program - Volume 144,978-1-4503-7782-9,https://dl.acm.org/doi/book/10.1145/1006032,10.1145/1006032,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2004 Art gallery,978-1-58113-896-2,https://dl.acm.org/doi/book/10.1145/1185884,10.1145/1185884,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2004 Computer animation festival,978-1-58113-896-2,https://dl.acm.org/doi/book/10.1145/1186015,10.1145/1186015,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2004 Course Notes,978-1-4503-7801-7,https://dl.acm.org/doi/book/10.1145/1103900,10.1145/1103900,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2004 Educators program,978-1-58113-896-2,https://dl.acm.org/doi/book/10.1145/1186107,10.1145/1186107,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2004 Emerging technologies,978-1-58113-896-2,https://dl.acm.org/doi/book/10.1145/1186155,10.1145/1186155,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2004 Panels,978-1-58113-896-2,https://dl.acm.org/doi/book/10.1145/1186554,10.1145/1186554,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2004 Papers,978-1-4503-7823-9,https://dl.acm.org/doi/book/10.1145/1186562,10.1145/1186562,Association for Computing Machinery,acmconferences
