计算机体系结构_并行与分布计算_存储系统
计算机网络
网络与信息安全
软件工程_系统软件_程序设计语言
数据库_数据挖掘_内容检索
计算机科学理论
计算机图形学与多媒体
人工智能
人机交互与普适计算
交叉_综合_新兴
